organization,part_id,count
org_0,id_11,435
org_0,id_55,435
org_0,id_56,435
org_0,id_57,435
org_0,id_58,435
org_0,id_59,435
org_0,id_60,435
org_0,id_61,435
org_0,id_67,435
org_0,id_8,435
org_1,id_11,133
org_1,id_12,133
org_1,id_120,133
org_1,id_13,133
org_1,id_17,133
org_1,id_201,133
org_1,id_202,133
org_1,id_203,133
org_1,id_204,133
org_1,id_205,133
org_1,id_206,133
org_1,id_207,133
org_1,id_208,133
org_1,id_209,133
org_1,id_210,133
org_1,id_211,133
org_1,id_213,133
org_1,id_216,133
org_1,id_217,133
org_1,id_218,133
org_1,id_219,133
org_1,id_220,133
org_1,id_222,133
org_1,id_223,133
org_1,id_224,133
org_1,id_225,133
org_1,id_226,133
org_1,id_228,133
org_1,id_230,133
org_1,id_231,133
org_1,id_234,133
org_1,id_236,133
org_1,id_237,133
org_1,id_27,133
org_1,id_6,133
org_1,id_73,133
org_1,id_75,133
org_1,id_8,133
org_10,id_11,188
org_10,id_307,188
org_10,id_59,188
org_10,id_671,188
org_10,id_672,188
org_10,id_673,188
org_11,id_11,128
org_11,id_6,128
org_11,id_60,128
org_11,id_68,128
org_11,id_69,128
org_11,id_70,128
org_11,id_71,128
org_11,id_8,128
org_12,id_11,57
org_12,id_13,57
org_12,id_138,57
org_12,id_142,57
org_12,id_17,57
org_12,id_34,57
org_12,id_506,57
org_12,id_511,57
org_12,id_556,57
org_12,id_557,57
org_12,id_558,57
org_12,id_559,57
org_12,id_560,57
org_12,id_561,57
org_12,id_562,57
org_12,id_563,57
org_12,id_564,57
org_12,id_565,57
org_12,id_567,57
org_12,id_572,57
org_12,id_573,57
org_12,id_574,57
org_12,id_575,57
org_12,id_576,57
org_12,id_577,57
org_12,id_579,57
org_12,id_580,57
org_12,id_584,57
org_12,id_586,57
org_12,id_589,57
org_12,id_59,57
org_12,id_591,57
org_12,id_6,57
org_12,id_8,57
org_13,id_11,167
org_13,id_19,167
org_13,id_27,167
org_13,id_40,167
org_13,id_41,167
org_13,id_42,167
org_13,id_43,167
org_13,id_44,167
org_13,id_46,167
org_13,id_47,167
org_13,id_8,167
org_14,id_11,220
org_14,id_120,220
org_14,id_396,220
org_14,id_398,220
org_14,id_6,220
org_14,id_62,220
org_14,id_73,220
org_14,id_74,220
org_15,id_11,217
org_15,id_267,217
org_15,id_268,217
org_15,id_270,217
org_15,id_59,217
org_16,id_11,70
org_16,id_14,70
org_16,id_17,70
org_16,id_19,70
org_16,id_25,70
org_16,id_27,70
org_16,id_29,70
org_16,id_30,70
org_16,id_31,70
org_16,id_32,70
org_16,id_34,70
org_16,id_36,70
org_16,id_38,70
org_16,id_39,70
org_16,id_8,70
org_17,id_11,46
org_17,id_120,46
org_17,id_177,46
org_17,id_34,46
org_17,id_340,46
org_17,id_59,46
org_17,id_6,46
org_17,id_613,46
org_17,id_614,46
org_17,id_615,46
org_17,id_618,46
org_17,id_619,46
org_17,id_621,46
org_17,id_624,46
org_17,id_627,46
org_17,id_8,46
org_18,id_11,64
org_18,id_120,64
org_18,id_37,64
org_18,id_402,64
org_18,id_403,64
org_18,id_404,64
org_18,id_405,64
org_18,id_406,64
org_18,id_407,64
org_18,id_408,64
org_18,id_6,64
org_19,id_11,153
org_19,id_32,153
org_19,id_76,153
org_19,id_77,153
org_19,id_78,153
org_19,id_8,153
org_2,id_102,181
org_2,id_11,181
org_2,id_12,181
org_2,id_120,181
org_2,id_17,181
org_2,id_438,181
org_2,id_439,181
org_2,id_440,181
org_2,id_441,181
org_2,id_442,181
org_2,id_443,181
org_2,id_444,181
org_2,id_445,181
org_2,id_446,181
org_2,id_447,181
org_2,id_448,181
org_2,id_449,181
org_2,id_450,181
org_2,id_451,181
org_2,id_452,181
org_2,id_453,181
org_2,id_454,181
org_2,id_455,181
org_2,id_456,181
org_2,id_457,181
org_2,id_458,181
org_2,id_459,181
org_2,id_460,181
org_2,id_463,181
org_2,id_464,181
org_2,id_466,181
org_2,id_467,181
org_2,id_468,181
org_2,id_470,181
org_2,id_471,181
org_2,id_5,181
org_2,id_54,181
org_2,id_8,181
org_20,id_11,47
org_20,id_113,47
org_20,id_114,47
org_20,id_115,47
org_20,id_116,47
org_20,id_117,47
org_20,id_118,47
org_20,id_119,47
org_20,id_120,47
org_20,id_121,47
org_20,id_122,47
org_20,id_124,47
org_20,id_125,47
org_20,id_126,47
org_20,id_6,47
org_21,id_11,136
org_21,id_12,136
org_21,id_241,136
org_21,id_242,136
org_21,id_245,136
org_21,id_247,136
org_21,id_249,136
org_21,id_251,136
org_21,id_252,136
org_21,id_253,136
org_21,id_254,136
org_21,id_255,136
org_21,id_256,136
org_21,id_257,136
org_21,id_258,136
org_21,id_259,136
org_21,id_260,136
org_21,id_8,136
org_22,id_10,104
org_22,id_11,104
org_22,id_303,104
org_22,id_304,104
org_22,id_305,104
org_22,id_306,104
org_22,id_307,104
org_22,id_308,104
org_22,id_8,104
org_23,id_11,105
org_23,id_327,105
org_23,id_389,105
